n,heapsort.ticks
125000,12477247
150000,15234456
175000,18035141
200000,20866031
225000,23714166
250000,26576713
275000,29475119
300000,32411857
325000,35375605
350000,38343938
375000,41331909
400000,44333934
425000,47334502
450000,50351222
475000,53373263
500000,56402384
525000,59452815
550000,62530103
575000,65621219
600000,68730727
625000,71845769
650000,74966990
675000,78103535
700000,81234695
725000,84379495
750000,87543157
775000,90700616
800000,93866195
825000,97022132
850000,100190866
875000,103362975
900000,106548565
925000,109731071
950000,112917012
975000,116110244
1000000,119307469
1025000,122516846
1050000,125737805
1075000,128962897
1100000,132213101
1125000,135463723
1150000,138721427
1175000,141987676
1200000,145257831
1225000,148528880
