n,heapsort.ticks
125000,11303647
150000,13810855
175000,16360843
200000,18928167
225000,21516159
250000,24110257
275000,26745531
300000,29419169
325000,32113243
350000,34820035
375000,37532795
400000,40256665
425000,42990191
450000,45728861
475000,48472219
500000,51219379
525000,53973361
550000,56786179
575000,59612533
600000,62442851
625000,65282637
650000,68133177
675000,70981053
700000,73839083
725000,76701107
750000,79571415
775000,82440677
800000,85318653
825000,88194305
850000,91084169
875000,93965407
900000,96858865
925000,99745717
950000,102647797
975000,105537437
1000000,108441113
1025000,111342187
1050000,114245711
1075000,117209181
1100000,120174751
1125000,123148405
1150000,126122739
1175000,129103953
1200000,132088455
1225000,135074939
