n,heapsort.ticks
150000,7460603
180000,9102215
210000,10758791
240000,12422021
270000,14103014
300000,15820163
330000,17546873
360000,19284506
390000,21028730
420000,22774805
450000,24527408
480000,26285414
510000,28044572
540000,29828879
570000,31633094
600000,33441920
630000,35255015
660000,37074551
690000,38897855
720000,40727798
750000,42562010
780000,44393666
810000,46229096
840000,48067901
870000,49913993
900000,51757082
930000,53603522
960000,55453724
990000,57299153
1020000,59155493
1050000,61008665
1080000,62898860
1110000,64783697
1140000,66682361
1170000,68584601
1200000,70485137
1230000,72381437
1260000,74291507
1290000,76200530
1320000,78110885
1350000,80023778
1380000,81937517
1410000,83856809
1440000,85775708
1470000,87695306
