n,heapsort.time
125000,161
150000,201
175000,252
200000,297
225000,354
250000,393
275000,436
300000,520
325000,561
350000,609
375000,677
400000,767
425000,844
450000,871
475000,951
500000,1007
525000,1130
550000,1121
575000,1246
600000,1245
625000,1348
650000,1458
675000,1512
700000,1561
725000,1681
750000,1755
775000,1842
800000,1812
825000,1999
850000,2060
875000,2180
900000,2111
925000,2578
950000,2530
975000,2586
1000000,2601
1025000,2610
1050000,2711
1075000,2823
1100000,2914
1125000,2997
1150000,2995
1175000,3082
1200000,3253
1225000,3259
