n,heapsort.ticks
125000,9379676
150000,11433384
175000,13522765
200000,15628041
225000,17746108
250000,19881914
275000,22037285
300000,24216652
325000,26410893
350000,28616084
375000,30831766
400000,33055710
425000,35285693
450000,37514656
475000,39759285
500000,42011847
525000,44276006
550000,46551133
575000,48837635
600000,51139028
625000,53441102
650000,55751285
675000,58054610
700000,60378398
725000,62706590
750000,65028772
775000,67373351
800000,69710319
825000,72056674
850000,74390930
875000,76735278
900000,79087630
925000,81440024
950000,83794211
975000,86159012
1000000,88517254
1025000,90897408
1050000,93278755
1075000,95661396
1100000,98049977
1125000,100441569
1150000,102850148
1175000,105262016
1200000,107659989
1225000,110082656
