n,heapsort.time
125000,213
150000,274
175000,355
200000,430
225000,495
250000,615
275000,705
300000,766
325000,831
350000,919
375000,1049
400000,1173
425000,1332
450000,1326
475000,1447
500000,1558
525000,1647
550000,1767
575000,1880
600000,2008
625000,2121
650000,2319
675000,2376
700000,2462
725000,2568
750000,2694
775000,2799
800000,2900
825000,2962
850000,3083
875000,3177
900000,3330
925000,3466
950000,3717
975000,3700
1000000,3794
1025000,3982
1050000,4107
1075000,4233
1100000,4363
1125000,4529
1150000,4683
1175000,4907
1200000,4869
1225000,5062
