n,heapsort.time
150000,1102
180000,1424
210000,1771
240000,2159
270000,2472
300000,2860
330000,3284
360000,3684
390000,4142
420000,4764
450000,4896
480000,5617
510000,5789
540000,6216
570000,6654
600000,6997
630000,7359
660000,8079
690000,8449
720000,9605
750000,10670
780000,10491
810000,10463
840000,11728
870000,11002
900000,12276
930000,13516
960000,14792
990000,14330
1020000,16057
1050000,15228
1080000,16433
1110000,17587
1140000,17887
1170000,18885
1200000,19142
1230000,20572
1260000,19884
1290000,20404
1320000,22462
1350000,24426
1380000,20645
1410000,20724
1440000,34082
1470000,36295
