n,doubling.ticks
1,3
2,4
3,9
4,10
5,19
6,20
7,21
8,22
9,39
10,40
11,41
12,42
13,43
14,44
15,45
16,46
17,79
18,80
19,81
20,82
21,83
22,84
23,85
24,86
25,87
26,88
27,89
28,90
29,91
30,92
31,93
32,94
33,159
34,160
35,161
36,162
37,163
38,164
39,165
40,166
41,167
42,168
43,169
44,170
45,171
46,172
47,173
48,174
49,175
50,176
51,177
52,178
53,179
54,180
55,181
56,182
57,183
58,184
59,185
60,186
61,187
62,188
63,189
64,190
65,319
66,320
67,321
68,322
69,323
70,324
71,325
72,326
73,327
74,328
75,329
76,330
77,331
78,332
79,333
80,334
81,335
82,336
83,337
84,338
85,339
86,340
87,341
88,342
89,343
90,344
91,345
92,346
93,347
94,348
95,349
96,350
97,351
98,352
99,353
100,354
101,355
102,356
103,357
104,358
105,359
106,360
107,361
108,362
109,363
110,364
111,365
112,366
113,367
114,368
115,369
116,370
117,371
118,372
119,373
120,374
121,375
122,376
123,377
124,378
125,379
126,380
127,381
128,382
129,639
130,640
131,641
132,642
133,643
134,644
135,645
136,646
137,647
138,648
139,649
140,650
141,651
142,652
143,653
144,654
145,655
146,656
147,657
148,658
149,659
150,660
151,661
152,662
153,663
154,664
155,665
156,666
157,667
158,668
159,669
160,670
161,671
162,672
163,673
164,674
165,675
166,676
167,677
168,678
169,679
170,680
171,681
172,682
173,683
174,684
175,685
176,686
177,687
178,688
179,689
180,690
