n,heapsort.time
125000,225
150000,283
175000,356
200000,426
225000,490
250000,566
275000,639
300000,765
325000,807
350000,910
375000,1032
400000,1254
425000,1300
450000,1300
475000,1408
500000,1509
525000,1628
550000,1732
575000,1865
600000,1918
625000,2053
650000,2260
675000,2371
700000,2465
725000,2526
750000,2653
775000,2757
800000,2825
825000,2919
850000,3061
875000,3143
900000,3255
925000,3366
950000,3522
975000,3640
1000000,3721
1025000,3866
1050000,3956
1075000,4115
1100000,4269
1125000,4450
1150000,4589
1175000,4687
1200000,4739
1225000,4888
